tweets,target
This is a personal success .not political,1
Suresh Gopi's success is well deserved may all his work be blessed and be good for the country.  All the best and God bless,1
Right talk Suresh gopi..,1
Perfect profaneness in every word of Suresh Gopi.. Political activities and election contest has matured him well.,1
Sureshgopi is convinced that he knows how to speak politics and I have heard someone say that politics is a different kind of politics.,1
good man,1
"It is not the votes that BJP got but the personal absolute votes that Suresh Gopi got, there is no way for BJP to claim that.",1
Personality is important in politics Gone are the days of party voting,1
Beard style super,1
oh Rajagopal. thought Under the lotus symbol. Filled up. umba,1
Good acting,1
So will there be any action to reduce the price of gas petrol diesel,1
All the best Anna..,1
"I want to tell you one thing, this Suresh Ettan has many buddimutta colleagues, that day Radhika sister's grandmother Arumulla Ponnamma was at Suresh Ettan's house, she even used electricity to live for her needs. Ngondi, but now, the party has forgotten and given Thrissur to him, he knows the common people, Thrissur people, Keralites, Indians, the hand that you gave your country to, not with you, but with the next generation, I will be the head of the head, sure, I am Alappuzha, with you. See you and see you with Kerala Suresh Etta Big Salute Ragesh Das T, Evoor Ummm, I want to see you in person. ",1
1:17 1:27 1:32 correct super sir,1
He went to every place of worship without showing communalism and treated them all in a good manner and he succeeded in a good manner,1
"Anyway, the prosperity of the new son-in-law.",1
Nice clear answer,1
"Gopi sir used to vote for Innocent from the side. Then joined BJP and lost. As before, Ara Piri is still missing.",1
Left um right um illenghil pinney swadhendranaayi niinnappoorenoo,1
There is a possibility of lynching in Thrissur.  Meat sales are likely to be banned. Chakochi in the elephant in the movie Lelam. Most liked by Christians,1
My vote was not wasted,1
"Although he's in the BJP, he's very sensitive. Good man. Wrong party.",1
Good reply,1
"If we look at good work without talking about communalism, this kind of victory will continue, or for the attention of communalist gangs, once again this is Kerala and not Madhya Pradesh.",1
Can a new era begin?,1
"Modi is not a leader who fell out of favor one day. He is the one who walked barefoot in the thorny streets. As soon as 50 seats are reduced, those who flaunt as if something happened here need to learn. He will go forward boldly. Long live those who voted for Modi with the support of the Chinese and the Pakistanis, saying that special status will be given to Kashmir!",1
"U r best, no party, no community, no religion, all are same.  So that all are given vote to you.  I hope you will treat all the people in Kerala the same way. Keep promise always. Best of luck.  Congratulations.",1
"Keralathinu oru AIIMS… it is ok whichever district it comes in…
May you achieve it... you can do it..
Hop u can be a part of cabinet and that would be good for us keralites ✌️",1
"15000 more votes for LDF, 84000 votes of UDF went to dung, no more decoration needed.",1
Iftar feast was also not hated,1
He wants everyone,1
It's a good time in Kerala. Show some conscience,1
"The center has worn out and now if it is added to the cabinet, let it be this and that, Gopi got the vote for suffering. Is it not usual in politics, Murali is a good man",1
"Until now, those who have been asking for votes in the name of the party, after winning, say that this is not the party's victory but my victory. So who are the BJP workers who worked day and night to win him?",1
He is a total pushover. The candidate's lack of flexibility can be seen precisely.,1
Poor Medias got nothing to make a fuss about. He learned no small lesson from experience. Best wishes SG️,1
"If the BJP people do not show their own character (communalism), they may still take Thrissur 
Modi is their leader, so there is no way not to show it",1
Party alla main good person aanu main,1
Very truth janagallude viswasavotythhanneysnu iea vijayM,1
People are looking at Suresh Gopi. Keep the promises to the people. BJP's victory is not. It is a victory for the people of Thrissur. BJP. No login required. One thing is to be remembered. Communalism has no place in Kerala. Suresh Gopi will be Rajagopal's work. Work for us. Surely the people will have won,1
A handful like the old Neem,1
Can you tell me who are the conscious ones?,1
"Sahih al-Bukhari 5158.
Ayesha said when I was 6 years old, Muhammad (56 years old) signed a marriage contract with me.  He had sex with me when I was 9 years old. ",1
"There is something thorny and sharp in this request, plz Kerala should be divided sir, may the people live samadhanthode, don't show the konam of the BJP movement here plzz",1
Well deserved success,1
What after winning?,1
"Suresh Gopi won, some of them are crying. It's fun to hear them cry....",1
Ldf support is your win,1
Hard work is key to success,1
This guy has too much head weight. So dump. I don't like him.,1
"Good answer... This is how you should answer each and every question. Let leaders emerge who have good personality, who can answer their questions fairly, and who can act",1
"When the people of Palakkad cried that day, they did not think so much",1
Next lakh legal assembly,1
Sherik Shafi had to contest from Thrissur but he would have won one more seat,1
Shafi Parambil good leader keep going,1
They have 100% right to celebrate,1
Language skills... Very intelligent man... Knowledge is power man,1
You people have a good culture,1
"If success was yours, you would see a culture full of cuts and stabs.",1
